State,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama ,102.7,107.7,112.6,117.5,121.3,126.1,129.0,134.9,139.5,142.2,147.1,152.9,158.7,168.0,182.1,196.3,200.2,193.0,197.4,176.9
Alaska ,101.9,104.3,110.5,111.1,117.6,123.6,125.4,130.6,131.4,136.5,148.5,156.4,170.5,187.8,207.6,218.3,222.3,226.1,217.0,222.9
Arizona ,101.3,103.1,108.3,115.7,121.0,125.9,130.8,138.2,146.5,154.9,164.9,175.6,191.9,227.5,300.7,319.4,289.2,227.1,198.6,172.6
Arkansas ,103.2,105.8,111.8,119.7,123.4,126.2,129.1,132.7,137.2,141.2,146.3,152.7,161.7,172.9,184.9,192.8,194.4,186.6,190.7,175.2
California ,99.2,95.6,90.0,86.7,84.9,85.2,88.8,97.8,107.9,122.8,137.0,160.3,189.2,235.9,278.5,269.5,230.7,170.6,168.1,159.2
Colorado ,102.8,113.3,127.6,140.0,147.7,155.3,162.8,175.2,194.0,216.4,229.4,239.3,244.9,254.9,270.5,278.4,276.7,263.9,270.3,266.3
Connecticut ,95.8,95.3,91.4,91.3,90.4,90.5,93.0,99.4,107.7,117.4,129.7,146.3,159.9,178.7,194.5,195.2,194.4,184.1,176.9,170.2
Delaware ,100.1,100.3,98.1,99.5,99.9,99.6,101.3,105.8,112.7,121.1,131.4,144.8,159.7,183.7,208.4,221.0,215.8,201.8,194.8,194.0
District of Columbia,98.9,99.5,93.6,93.6,93.9,98.9,96.1,108.5,119.3,135.4,164.1,196.9,225.0,284.3,324.2,342.9,344.8,330.8,327.2,333.7
Florida ,100.4,102.3,105.2,108.2,110.3,112.3,115.7,121.1,128.5,139.3,154.7,172.9,196.2,236.9,295.9,306.5,275.6,205.5,188.5,175.7
Georgia ,100.8,102.9,105.8,110.0,114.7,118.9,124.8,132.9,142.4,151.2,158.7,166.0,170.7,178.0,190.5,198.5,197.1,178.3,174.4,154.8
Hawaii ,97.8,102.0,99.4,98.0,94.5,89.1,81.0,82.5,85.6,92.0,101.8,111.9,137.3,167.8,204.3,211.6,207.9,205.3,180.8,174.7
Idaho ,104.9,113.7,123.9,132.7,135.9,138.8,140.8,144.6,149.0,154.2,159.0,165.2,174.7,193.1,228.3,258.1,263.9,240.8,225.8,189.6
Illinois ,102.3,106.7,110.7,115.7,118.8,122.2,124.5,129.6,136.6,145.5,155.5,166.7,178.6,190.5,203.8,210.7,209.2,196.0,186.6,181.5
Indiana ,101.0,105.5,111.1,115.5,120.4,125.6,128.6,134.1,137.8,142.0,146.9,149.3,154.6,159.4,165.4,167.3,165.6,158.9,160.6,159.2
Iowa ,102.7,108.4,117.8,122.6,128.5,132.8,137.6,146.0,151.9,157.2,163.4,170.0,175.9,185.1,191.2,196.8,199.1,197.3,198.0,195.1
Kansas ,100.4,104.1,110.1,116.0,122.8,126.5,132.9,141.9,146.7,152.9,161.1,166.4,173.0,180.5,187.2,195.0,198.3,195.7,196.7,191.8
